"","Date","Surveyor","Camera_Number","MAX_depth_ft","Site","Area_surveyed_m2","AGLO_size_cm","AGLO_partial_mortality","ICRA_percent_partial_mortality","Notes","Sheet_Name","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","MAX_depth_m","Lat","Long","AGLO_pres","ICRA_pres","AGLO_count","ICRA_count"
"65",2025-02-08,"ES",2,34,"TUT-168",60,NA,NA,65,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3632,-14.360877,-170.781335,1,1,2,215
"66",2025-02-08,"ES",2,34,"TUT-168",60,NA,NA,50,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3632,-14.360877,-170.781335,1,1,2,215
"67",2025-02-08,"ES",2,34,"TUT-168",60,NA,NA,0,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3632,-14.360877,-170.781335,1,1,2,215
"68",2025-02-08,"ES",2,34,"TUT-168",60,NA,NA,85,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3632,-14.360877,-170.781335,1,1,2,215
"69",2025-02-10,"ES",1,36,"TUT-102",60,NA,NA,NA,"No AGLO or ICRA on transect at all sites on 2/10/2025","ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9728,-14.334349,-170.700307,1,0,1,0
"70",2025-02-10,"ES",1,56,"TUT-062",60,NA,NA,NA,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.0688,-14.312694,-170.835819,1,0,3,0
"71",2025-02-10,"ES",1,55,"TUT-069",60,NA,NA,NA,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.764,-14.291243,-170.792502,1,0,1,0
"72",2025-02-10,"ES",1,40,"TUT-202",60,NA,NA,NA,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.192,-14.289603,-170.759634,1,1,1,0
"73",2025-02-11,"ES",1,31,"TUT-203",60,NA,NA,NA,"NO aglo or ICRA on transect","ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4488,-14.283693,-170.72293,1,0,1,0
"74",2025-02-11,"ES",2,28,"TUT-046",60,NA,NA,NA,"NO aglo or ICRA on transect","ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5344,-14.260084,-170.704549,0,0,0,0
"75",2025-02-11,"ES",2,47,"TUT-041",60,NA,NA,NA,"NO aglo or ICRA on transect","ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3256,-14.25037,-170.690159,1,0,1,0
"76",2025-02-11,"ES",2,47,"TUT-035",60,43,20,NA,"Funky AGLO","ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3256,-14.256289,-170.605873,1,0,1,0
"77",2025-02-12,"ES",2,28,"TUT-023",60,NA,NA,NA,"No aglo or icra on transects; aglo classic at shallows past transect","ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5344,-14.255458,-170.623423,1,0,0,0
"78",2025-02-12,"ES",2,27,"TUT-052",60,NA,NA,NA,"No aglo or icra at site (that I saw)","ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2296,-14.257004,-170.587948,1,1,0,1
"79",2025-02-12,"ES",2,32,"TUT-076",60,NA,NA,NA,"No aglo or icra on transect","ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7536,-14.283504,-170.631611,1,1,0,11
"80",2025-02-12,"ES",2,32,"TUT-204",60,25,5,5,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7536,-14.29099,-170.560818,1,1,3,5
"81",2025-02-12,"ES",2,32,"TUT-204",60,50,5,15,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7536,-14.29099,-170.560818,1,1,3,5
"82",2025-02-12,"ES",2,32,"TUT-204",60,27.5,20,NA,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7536,-14.29099,-170.560818,1,1,3,5
"83",2025-02-12,"ES",2,NA,"TUT-120",60,NA,NA,75,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.293418,-170.65432,1,1,0,7
"84",2025-02-12,"ES",2,NA,"TUT-120",60,NA,NA,50,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.293418,-170.65432,1,1,0,7
"85",2025-02-13,"ES",2,50,"TUT-113",60,25,5,NA,"No icra at site; AGLO classic everywhere","ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.24,-14.323617,-170.67021,1,1,6,0
"86",2025-02-13,"ES",2,36,"TUT-104",60,NA,NA,NA,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9728,-14.316648,-170.65397,1,1,4,0
"87",2025-02-13,"ES",2,20,"TUT-082",60,NA,NA,NA,"AGLO C present at end of transect","ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.096,-14.273839,-170.6078,1,0,0,0
"88",2025-02-13,"ES",2,37,"TUT-103",60,NA,NA,NA,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2776,-14.292398,-170.675569,1,0,2,0
"89",2025-02-14,"ES",2,31,"TUT-093",60,45,2,10,"AGLO funkyish, long branches","ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4488,-14.337165,-170.711077,1,1,8,18
"90",2025-02-14,"ES",2,31,"TUT-093",60,27.5,10,8,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4488,-14.337165,-170.711077,1,1,8,18
"91",2025-02-14,"ES",2,31,"TUT-093",60,NA,NA,20,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4488,-14.337165,-170.711077,1,1,8,18
"92",2025-02-14,"ES",2,31,"TUT-093",60,NA,NA,30,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4488,-14.337165,-170.711077,1,1,8,18
"93",2025-02-14,"ES",2,31,"TUT-093",60,NA,NA,30,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4488,-14.337165,-170.711077,1,1,8,18
"94",2025-02-14,"ES",2,48,"TUT-208",60,20,5,10,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6304,-14.348332,-170.725342,1,1,3,1
"95",2025-02-14,"ES",2,49,"TUT-206",60,37.5,20,NA,"Classic","ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9352,-14.316944,-170.69317,1,0,3,0
"96",2025-02-14,"ES",2,20,"TUT-207",60,20,40,5,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.096,-14.303783,-170.683308,1,1,2,8
"97",2025-02-14,"ES",2,20,"TUT-207",60,50,10,40,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.096,-14.303783,-170.683308,1,1,2,8
"98",2025-02-14,"ES",2,20,"TUT-207",60,NA,NA,35,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.096,-14.303783,-170.683308,1,1,2,8
"99",2025-02-14,"ES",2,33,"TUT-091",60,27.5,2,5,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0584,-14.278903,-170.586065,1,1,1,54
"100",2025-02-14,"ES",2,33,"TUT-091",60,NA,NA,50,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0584,-14.278903,-170.586065,1,1,1,54
"101",2025-02-14,"ES",2,33,"TUT-091",60,NA,NA,30,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0584,-14.278903,-170.586065,1,1,1,54
"102",2025-02-14,"ES",2,33,"TUT-091",60,NA,NA,80,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0584,-14.278903,-170.586065,1,1,1,54
"103",2025-02-14,"ES",2,33,"TUT-091",60,NA,NA,30,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0584,-14.278903,-170.586065,1,1,1,54
"104",2025-02-14,"ES",2,33,"TUT-091",60,NA,NA,30,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0584,-14.278903,-170.586065,1,1,1,54
"105",2025-02-14,"ES",2,33,"TUT-091",60,NA,NA,25,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0584,-14.278903,-170.586065,1,1,1,54
"106",2025-02-14,"ES",2,33,"TUT-091",60,NA,NA,10,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0584,-14.278903,-170.586065,1,1,1,54
"107",2025-02-14,"ES",2,33,"TUT-091",60,NA,NA,15,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0584,-14.278903,-170.586065,1,1,1,54
"108",2025-02-14,"ES",2,33,"TUT-091",60,NA,NA,2,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0584,-14.278903,-170.586065,1,1,1,54
"109",2025-02-14,"ES",2,33,"TUT-091",60,NA,NA,10,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0584,-14.278903,-170.586065,1,1,1,54
"110",2025-02-14,"ES",2,33,"TUT-091",60,NA,NA,0,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0584,-14.278903,-170.586065,1,1,1,54
"111",2025-02-14,"ES",2,33,"TUT-091",60,NA,NA,70,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0584,-14.278903,-170.586065,1,1,1,54
"112",2025-02-14,"ES",2,33,"TUT-091",60,NA,NA,0,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0584,-14.278903,-170.586065,1,1,1,54
"113",2025-02-14,"ES",2,33,"TUT-091",60,NA,NA,70,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0584,-14.278903,-170.586065,1,1,1,54
"114",2025-02-14,"ES",2,33,"TUT-091",60,NA,NA,10,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0584,-14.278903,-170.586065,1,1,1,54
"115",2025-02-14,"ES",2,33,"TUT-091",60,NA,NA,50,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0584,-14.278903,-170.586065,1,1,1,54
"116",2025-02-14,"ES",2,33,"TUT-091",60,NA,NA,80,NA,"ES_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0584,-14.278903,-170.586065,1,1,1,54
"117",2025-02-07,"CSC",4,45,"TUT-211",60,55,30,5,NA,"CSC_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.716,-14.360358,-170.748776,1,1,3,1
"118",2025-02-07,"CSC",4,45,"TUT-212",60,NA,NA,5,NA,"CSC_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.716,-14.338095,-170.793296,1,1,1,40
"119",2025-02-07,"CSC",4,45,"TUT-212",60,NA,NA,70,NA,"CSC_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.716,-14.338095,-170.793296,1,1,1,40
"120",2025-02-07,"CSC",4,45,"TUT-212",60,NA,NA,60,NA,"CSC_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.716,-14.338095,-170.793296,1,1,1,40
"121",2025-02-07,"CSC",4,45,"TUT-212",60,NA,NA,1,NA,"CSC_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.716,-14.338095,-170.793296,1,1,1,40
"122",2025-02-07,"CSC",4,45,"TUT-212",60,NA,NA,10,NA,"CSC_size_PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.716,-14.338095,-170.793296,1,1,1,40
