"COLONYLENGTH","MAX_DEPTH_M","Area_surveyed_m2","SITE","PER_DEAD","LATITUDE","LONGITUDE","YEAR","TAIL_BINS","Bleaching_Period","Survey_Type"
15,6.7056,60,"TUT-215",3,-14.243735,-170.669372,"2025","QMED","Post-Bleaching","60m"
120,13.1064,60,"TUT-171",95,-14.332425,-170.824373,"2025","Q80","Post-Bleaching","60m"
126,13.1064,60,"TUT-171",60,-14.332425,-170.824373,"2025","Q80","Post-Bleaching","60m"
50,13.1064,60,"TUT-171",80,-14.332425,-170.824373,"2025","Q80","Post-Bleaching","60m"
100,13.1064,60,"TUT-171",80,-14.332425,-170.824373,"2025","Q80","Post-Bleaching","60m"
70,13.1064,60,"TUT-171",50,-14.332425,-170.824373,"2025","Q80","Post-Bleaching","60m"
35,13.1064,60,"TUT-171",95,-14.332425,-170.824373,"2025","QMED","Post-Bleaching","60m"
75,13.1064,60,"TUT-171",90,-14.332425,-170.824373,"2025","Q80","Post-Bleaching","60m"
112.5,13.1064,60,"TUT-171",90,-14.332425,-170.824373,"2025","Q80","Post-Bleaching","60m"
30,13.1064,60,"TUT-171",80,-14.332425,-170.824373,"2025","QMED","Post-Bleaching","60m"
47.5,13.1064,60,"TUT-171",95,-14.332425,-170.824373,"2025","Q80","Post-Bleaching","60m"
117.5,13.1064,60,"TUT-171",95,-14.332425,-170.824373,"2025","Q80","Post-Bleaching","60m"
35,13.1064,60,"TUT-171",40,-14.332425,-170.824373,"2025","QMED","Post-Bleaching","60m"
52.5,13.1064,60,"TUT-171",65,-14.332425,-170.824373,"2025","Q80","Post-Bleaching","60m"
75,13.1064,60,"TUT-171",80,-14.332425,-170.824373,"2025","Q80","Post-Bleaching","60m"
45,13.1064,60,"TUT-171",95,-14.332425,-170.824373,"2025","Q80","Post-Bleaching","60m"
80,13.1064,60,"TUT-171",40,-14.332425,-170.824373,"2025","Q80","Post-Bleaching","60m"
50,13.1064,60,"TUT-171",90,-14.332425,-170.824373,"2025","Q80","Post-Bleaching","60m"
60,13.1064,60,"TUT-171",96,-14.332425,-170.824373,"2025","Q80","Post-Bleaching","60m"
65,13.1064,60,"TUT-171",90,-14.332425,-170.824373,"2025","Q80","Post-Bleaching","60m"
45,13.1064,60,"TUT-171",98,-14.332425,-170.824373,"2025","Q80","Post-Bleaching","60m"
